Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id
ERR14655205,AMPLICON,236,15751469,PRJEB85606,SAMEA117687870,7092664,IKIM - UK-ESSEN,2022,public,"sra,activ_sars2_vcf,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",2025-02-24,2025-02-24,2025-02-24,ERX14056674,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:44:00Z,1,SAMEA117687870,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208855,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208855
ERR14655206,AMPLICON,118,24665959,PRJEB85606,SAMEA117687868,14868842,IKIM - UK-ESSEN,2022,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056675,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:53:00Z,1,SAMEA117687868,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208853,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208853
ERR14655207,AMPLICON,225,129386725,PRJEB85606,SAMEA117687866,80625208,IKIM - UK-ESSEN,2022,public,"run.zq,fastq,activ_sars2_vcf,sra","gs,s3,ncbi","gs.US,gs.us-east1,s3.us-east-1,ncbi.public",2025-02-24,2025-02-24,2025-02-24,ERX14056676,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:52:00Z,1,SAMEA117687866,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208851,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208851
ERR14655208,AMPLICON,199,86730015,PRJEB85606,SAMEA117687865,55053215,IKIM - UK-ESSEN,2022,public,"sra,activ_sars2_vcf,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1,gs.us-east1",2025-02-24,2025-02-24,2025-02-24,ERX14056677,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-25T00:00:00Z,2025-03-14T03:40:00Z,1,SAMEA117687865,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208850,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208850
ERR14655209,AMPLICON,159,47943093,PRJEB85606,SAMEA117687864,29769001,IKIM - UK-ESSEN,2022,public,"run.zq,fastq,sra,activ_sars2_vcf","ncbi,s3,gs","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",2025-02-24,2025-02-24,2025-02-24,ERX14056678,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-07T00:22:00Z,1,SAMEA117687864,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208849,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208849
ERR14655210,AMPLICON,174,44358049,PRJEB85606,SAMEA117687863,27792743,IKIM - UK-ESSEN,2022,public,"run.zq,sra,activ_sars2_vcf,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,gs.us-east1,ncbi.public",2025-02-24,2025-02-24,2025-02-24,ERX14056679,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-07T00:22:00Z,1,SAMEA117687863,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208848,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208848
ERR14655211,AMPLICON,149,33682837,PRJEB85606,SAMEA117687862,20648208,IKIM - UK-ESSEN,2022,public,"activ_sars2_vcf,fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056680,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:52:00Z,1,SAMEA117687862,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208847,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208847
ERR14655212,AMPLICON,187,40537616,PRJEB85606,SAMEA117687861,25882598,IKIM - UK-ESSEN,2022,public,"activ_sars2_vcf,sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",2025-02-24,2025-02-24,2025-02-24,ERX14056681,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-07T00:22:00Z,1,SAMEA117687861,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208846,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208846
ERR14655213,AMPLICON,179,43691810,PRJEB85606,SAMEA117687860,27368366,IKIM - UK-ESSEN,2022,public,"fastq,activ_sars2_vcf,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1,gs.US",2025-02-24,2025-02-24,2025-02-24,ERX14056682,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-07T00:23:00Z,1,SAMEA117687860,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208845,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208845
ERR14655214,AMPLICON,160,51585413,PRJEB85606,SAMEA117687859,31547955,IKIM - UK-ESSEN,2022,public,"activ_sars2_vcf,run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1,gs.US",2025-02-24,2025-02-24,2025-02-24,ERX14056683,Germany,Europe,Germany,IKIM - UK-Essen,public,Illumina MiSeq,,PAIRED,cDNA,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2025-02-24T00:00:00Z,2025-03-06T13:46:00Z,1,SAMEA117687859,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208844,Severe acute respiratory syndrome coronavirus 2,ERP168981,ena-SAMPLE-TAB-11-02-2025-16:09:45:988-208844
