Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by
SRR34288884,AMPLICON,137,755623740,PRJNA1283912,SAMN49704290,SARS-CoV-2: wastewater surveillance,592315808,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-18,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX29459866,Germany,Europe,Germany:Frankfurt_Griesheim,Ion Torrent Genexus,wastewater,BMBF_EGLV_FRGR_20230418_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,BMBF_EGLV_FRGR_20230418_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,rep
SRR34288885,AMPLICON,111,1983059559,PRJNA1283912,SAMN49704339,SARS-CoV-2: wastewater surveillance,1505681541,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-14,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29459865,Germany,Europe,Germany:Berlin_Aircraft_manhole,Ion GeneStudio S5 Prime,wastewater,SAT_BER_FTGS_DOM_pool_20230414_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:57:00Z,1,SAT_BER_FTGS_DOM_pool_20230414_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,
SRR34288886,AMPLICON,86,58174286,PRJNA1283912,SAMN49704466,SARS-CoV-2: wastewater surveillance,47707886,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-27,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX29459864,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TER24h_20230427_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:54:00Z,1,SAT_FRA_TER24h_20230427_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,rep
SRR34288887,AMPLICON,110,388671823,PRJNA1283912,SAMN49704456,SARS-CoV-2: wastewater surveillance,295016483,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-18,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX29459863,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TER24h_20230418_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:55:00Z,1,SAT_FRA_TER24h_20230418_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,rep
SRR34288888,AMPLICON,165,2886109568,PRJNA1283912,SAMN49704394,SARS-CoV-2: wastewater surveillance,2080776046,TECHNICAL UNIVERSITY OF DARMSTADT,2023-01-31,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX29459862,Germany,Europe,Germany:Frankfurt_Lavatory_Truck,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_FTGS_pool_20230131_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:56:00Z,1,SAT_FRA_FTGS_pool_20230131_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep
SRR34288889,AMPLICON,118,1143239595,PRJNA1283912,SAMN49704303,SARS-CoV-2: wastewater surveillance,854370626,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-17,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX29459861,Germany,Europe,Germany:Berlin_Aircraft_bottom_outlet,Ion GeneStudio S5 Prime,wastewater,SAT_BER_FTGS_AL_pool_20230217_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:56:00Z,1,SAT_BER_FTGS_AL_pool_20230217_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,rep
SRR34288890,AMPLICON,142,2424069517,PRJNA1283912,SAMN49704343,SARS-CoV-2: wastewater surveillance,1824212827,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-28,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29459860,Germany,Europe,Germany:Berlin_Aircraft_manhole,Ion GeneStudio S5 Prime,wastewater,SAT_BER_FTGS_DOM_pool_20230428_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:57:00Z,1,SAT_BER_FTGS_DOM_pool_20230428_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,
SRR34288891,AMPLICON,130,1133117387,PRJNA1283912,SAMN49704380,SARS-CoV-2: wastewater surveillance,828211636,TECHNICAL UNIVERSITY OF DARMSTADT,2023-01-23,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX29459859,Germany,Europe,Germany:Frankfurt_Non_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_FT24h_pool_20230123,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:56:00Z,1,SAT_FRA_FT24h_pool_20230123,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,
SRR34288892,AMPLICON,169,2885866810,PRJNA1283912,SAMN49704469,SARS-CoV-2: wastewater surveillance,2087624278,TECHNICAL UNIVERSITY OF DARMSTADT,2023-04-30,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX29459858,Germany,Europe,Germany:Frankfurt_Terminal,Ion GeneStudio S5 Prime,wastewater,SAT_FRA_TER24h_20230430_02,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:58:00Z,1,SAT_FRA_TER24h_20230430_02,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,24,raw wastewater,composite,yes,SARS-CoV-2,rep
SRR34288893,AMPLICON,119,1642077412,PRJNA1283912,SAMN49704325,SARS-CoV-2: wastewater surveillance,1199607663,TECHNICAL UNIVERSITY OF DARMSTADT,2023-02-17,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX29459857,Germany,Europe,Germany:Berlin_Aircraft_manhole,Ion GeneStudio S5 Prime,wastewater,SAT_BER_FTGS_DOM_pool_20230217_01,SINGLE,PCR,GENOMIC,wastewater metagenome,ION_TORRENT,research,2025-06-29T00:00:00Z,2025-06-29T09:57:00Z,1,SAT_BER_FTGS_DOM_pool_20230217_01,"Technical University of Darmstadt\, IWAR\, WUB",SRP595869,NA,0,raw wastewater,grab,yes,SARS-CoV-2,
