Run,amplicon_PCR_primer_scheme (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,concentration_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dehosting_method (run),enrichment_kit (run),Experiment,extraction_control,extraction_method,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,purpose_of_ww_sampling,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_population_source,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_known_present,ww_surv_target_1_protocol,ww_surv_target_1
SRR27506597,NEB VarSkip 2b Short,AMPLICON,288,283100738,PRJNA934936,SAMN39419422,SARS-CoV-2: wastewater surveillance,146643661,MA_WWS,MASPHL,2023-06-25,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176896,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW377,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T05:31:00Z,2,23WW377,MASPHL,SRP483402,94000,wastewater treatment plant records,48,raw wastewater,wastewater treatment plant,composite,94262.4678061344,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
SRR27506599,NEB VarSkip 2b Short,AMPLICON,289,141079601,PRJNA934936,SAMN39419420,SARS-CoV-2: wastewater surveillance,75038590,MA_WWS,MASPHL,2023-06-22,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176894,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW375,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T04:56:00Z,2,23WW375,MASPHL,SRP483402,13000,wastewater treatment plant records,24,raw wastewater,wastewater treatment plant,composite,80720.92722928907,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
SRR27506600,NEB VarSkip 2b Short,AMPLICON,289,277847864,PRJNA934936,SAMN39419419,SARS-CoV-2: wastewater surveillance,145202505,MA_WWS,MASPHL,2023-06-22,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176893,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW374,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T05:32:00Z,2,23WW374,MASPHL,SRP483402,107565,wastewater treatment plant records,24,raw wastewater,wastewater treatment plant,composite,106881.47223955083,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
SRR27506608,NEB VarSkip 2b Short,AMPLICON,266,365692449,PRJNA934936,SAMN39419573,SARS-CoV-2: wastewater surveillance,164381311,MA_WWS,MASPHL,2023-09-05,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176885,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW529,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T05:31:00Z,2,23WW529,MASPHL,SRP483402,1375228,wastewater treatment plant records,24,raw wastewater,wastewater treatment plant,composite,379380.4278754501,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
SRR27506609,NEB VarSkip 2b Short,AMPLICON,267,382823367,PRJNA934936,SAMN39419572,SARS-CoV-2: wastewater surveillance,171082370,MA_WWS,MASPHL,2023-08-31,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176884,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW528,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T05:31:00Z,2,23WW528,MASPHL,SRP483402,13000,wastewater treatment plant records,24,raw wastewater,wastewater treatment plant,composite,485629.34192244534,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
SRR27506610,NEB VarSkip 2b Short,AMPLICON,274,323514232,PRJNA934936,SAMN39419571,SARS-CoV-2: wastewater surveillance,144931529,MA_WWS,MASPHL,2023-08-31,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176883,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW527,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T05:31:00Z,2,23WW527,MASPHL,SRP483402,107565,wastewater treatment plant records,24,raw wastewater,wastewater treatment plant,composite,503601.29965412425,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
SRR27506611,NEB VarSkip 2b Short,AMPLICON,291,342923195,PRJNA934936,SAMN39419486,SARS-CoV-2: wastewater surveillance,166462042,MA_WWS,MASPHL,2023-07-26,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176882,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW442,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T05:26:00Z,2,23WW442,MASPHL,SRP483402,1375228,wastewater treatment plant records,24,raw wastewater,wastewater treatment plant,composite,302794.66562071,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
SRR27506612,NEB VarSkip 2b Short,AMPLICON,291,325872312,PRJNA934936,SAMN39419485,SARS-CoV-2: wastewater surveillance,160455436,MA_WWS,MASPHL,2023-07-26,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176881,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW441,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T05:31:00Z,2,23WW441,MASPHL,SRP483402,107565,wastewater treatment plant records,24,raw wastewater,wastewater treatment plant,composite,193496.3792867878,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
SRR27506615,NEB VarSkip 2b Short,AMPLICON,293,245936708,PRJNA934936,SAMN39419482,SARS-CoV-2: wastewater surveillance,146787864,MA_WWS,MASPHL,2023-07-23,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176878,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW438,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T05:27:00Z,2,23WW438,MASPHL,SRP483402,94000,wastewater treatment plant records,48,raw wastewater,wastewater treatment plant,composite,181067.31251043925,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
SRR27506623,NEB VarSkip 2b Short,AMPLICON,264,379097902,PRJNA934936,SAMN39419475,SARS-CoV-2: wastewater surveillance,183413855,MA_WWS,MASPHL,2023-07-19,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRA human read removal tool,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,SRX23176870,Murine Hepatitis Virus,zymo quick-rna viral kit,USA,North America,USA: Massachusetts,Illumina MiSeq,wastewater,23WW431,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,CDC NWSS,public health surveillance community-level,2025-01-24T00:00:00Z,2025-01-24T05:26:00Z,2,23WW431,MASPHL,SRP483402,1375228,wastewater treatment plant records,24,raw wastewater,wastewater treatment plant,composite,135869.84046594074,copies/L,N2,no,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,SARS-CoV-2
