Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,collection_site_id,concentration_method,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,extraction_control,extraction_method,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,purpose_of_ww_sampling,purpose_of_ww_sequencing,ReleaseDate,create_date,version,Sample Name,sequenced_by,SRA Study,ww_population,ww_population_source,ww_sample_duration,ww_sample_matrix,ww_sample_site,ww_sample_type,ww_surv_system_sample_id,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_known_present,ww_surv_target_1,ww_surv_target_1_conc,ww_flow,instantaneous_flow,amplicon_PCR_primer_scheme (run),replicate
SRR27212782,AMPLICON,241,104109615,PRJNA850375,SAMN38843553,SARS-CoV-2: wastewater surveillance,55025534,CDPHE-COVID,CDPHE,2023-10-31,SW,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891716,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, El Paso\, county",Illumina MiSeq,wastewater,SW20231031,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:04:00Z,2,SW20231031,CDPHE,SRP393881,9286,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,SW20231031,copies/L,N2,no,SARS-CoV-2,"690,000",0.385,NaN,,
SRR27212783,AMPLICON,241,89780229,PRJNA850375,SAMN38843552,SARS-CoV-2: wastewater surveillance,48489714,CDPHE-COVID,CDPHE,2023-11-02,UB,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891715,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Summit\, county",Illumina MiSeq,wastewater,UB20231102,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:04:00Z,2,UB20231102,CDPHE,SRP393881,35643,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,UB20231102,copies/L,N2,no,SARS-CoV-2,"43,000",1.449,NaN,,
SRR27212784,AMPLICON,243,110861879,PRJNA850375,SAMN38843551,SARS-CoV-2: wastewater surveillance,62237140,CDPHE-COVID,CDPHE,2023-11-06,SA,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891714,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Adams Arapahoe\, county",Illumina MiSeq,wastewater,SA20231106,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:04:00Z,2,SA20231106,CDPHE,SRP393881,268004,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,SA20231106,copies/L,N2,no,SARS-CoV-2,"35,000",3.6469,NaN,,
SRR27212785,AMPLICON,247,68545555,PRJNA850375,SAMN38843550,SARS-CoV-2: wastewater surveillance,37706566,CDPHE-COVID,CDPHE,2023-11-01,GJ,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891713,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Mesa\, county",Illumina MiSeq,wastewater,GJ20231101,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:03:00Z,2,GJ20231101,CDPHE,SRP393881,89286,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,GJ20231101,copies/L,N2,no,SARS-CoV-2,"120,000",6.95,NaN,,
SRR27212786,AMPLICON,246,69888228,PRJNA850375,SAMN38843549,SARS-CoV-2: wastewater surveillance,38123128,CDPHE-COVID,CDPHE,2023-11-02,BH,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891712,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Morgan\, county",Illumina MiSeq,wastewater,BH20231102,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:04:00Z,2,BH20231102,CDPHE,SRP393881,12000,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,BH20231102,copies/L,N2,no,SARS-CoV-2,"120,000",0.542,NaN,,
SRR27212787,AMPLICON,242,114069998,PRJNA850375,SAMN38843548,SARS-CoV-2: wastewater surveillance,62725293,CDPHE-COVID,CDPHE,2023-11-02,FC,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891711,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Summit\, county",Illumina MiSeq,wastewater,FC20231102,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:05:00Z,2,FC20231102,CDPHE,SRP393881,14286,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,FC20231102,copies/L,N2,no,SARS-CoV-2,"42,000",0.3804,NaN,,
SRR27212788,AMPLICON,245,94947658,PRJNA850375,SAMN38843547,SARS-CoV-2: wastewater surveillance,51671069,CDPHE-COVID,CDPHE,2023-11-02,WL,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891710,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Jackson\, county",Illumina MiSeq,wastewater,WL20231102,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:04:00Z,2,WL20231102,CDPHE,SRP393881,1536,census blocks clipped to wastewater service area polygon,0,raw wastewater,wastewater treatment plant,grab,WL20231102,copies/L,N2,no,SARS-CoV-2,"18,000",NaN,0.055,,
SRR27212789,AMPLICON,245,83130475,PRJNA850375,SAMN38843546,SARS-CoV-2: wastewater surveillance,45722773,CDPHE-COVID,CDPHE,2023-11-06,PC,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891709,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Douglas\, county",Illumina MiSeq,wastewater,PC20231106,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:04:00Z,2,PC20231106,CDPHE,SRP393881,34786,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,PC20231106,copies/L,N2,no,SARS-CoV-2,"67,000",6.228,NaN,,
SRR27212790,AMPLICON,243,89971982,PRJNA850375,SAMN38843528,SARS-CoV-2: wastewater surveillance,49553564,CDPHE-COVID,CDPHE,2023-11-02,AP,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891708,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Pitkin\, county",Illumina MiSeq,wastewater,AP20231102,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T18:48:00Z,1,AP20231102,CDPHE,SRP393881,5500,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,AP20231102,copies/L,N2,no,SARS-CoV-2,"19,000",0.902,NaN,,
SRR27212791,AMPLICON,242,91685021,PRJNA850375,SAMN38843545,SARS-CoV-2: wastewater surveillance,49086406,CDPHE-COVID,CDPHE,2023-11-06,SL,innovaprep ultrafiltration,public,"activ_sars2_vcf,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX22891707,MHV,qiagen EZ1 RNA extraction kit,USA,North America,"USA: Colorado\, Boulder\, county",Illumina MiSeq,wastewater,SL20231106,PAIRED,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,SARS-CoV-2 Colorado wastewater genomic surveillance Raw sequence reads,public health surveillance community-level,diversity of mutations across entire genome,2023-12-14T00:00:00Z,2023-12-14T19:05:00Z,2,SL20231106,CDPHE,SRP393881,17601,census blocks clipped to wastewater service area polygon,24 hours,raw wastewater,wastewater treatment plant,composite,SL20231106,copies/L,N2,no,SARS-CoV-2,"160,000",1.5956,NaN,,
