Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR25869417,WGS,200,1493838800,PRJNA980445,SAMN37230515,SARS-CoV-2: wastewater surveillance,872044842,UNIVERSITY OF VENDA,2021-07-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21590830,South Africa,Africa,"South Africa: Siloam Hospital\,Limpopo",DNBSEQ-G400,Waste sedimentation pond,L01_69,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-01T11:45:00Z,1,SI01W32I_21,SRP441280,NA,0,sewer pipeline sediments,grab,yes,SARS-CoV-2
SRR25869418,WGS,200,2364544400,PRJNA980445,SAMN37230514,SARS-CoV-2: wastewater surveillance,1362577949,UNIVERSITY OF VENDA,2021-07-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21590829,South Africa,Africa,"South Africa: Giyani\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_21,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-01T11:46:00Z,1,GI01W29I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25869419,WGS,200,1433858000,PRJNA980445,SAMN37230513,SARS-CoV-2: wastewater surveillance,788084019,UNIVERSITY OF VENDA,2021-07-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21590828,South Africa,Africa,"South Africa: Nkowankowa\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_57,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-01T11:45:00Z,1,NK01W27I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25869420,WGS,200,327991000,PRJNA980445,SAMN37230512,SARS-CoV-2: wastewater surveillance,188956221,UNIVERSITY OF VENDA,2021-06-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21590827,South Africa,Africa,"South Africa: Louis Trichardt\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_42,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-01T11:43:00Z,1,LT01W25I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25869421,WGS,200,1186624200,PRJNA980445,SAMN37230511,SARS-CoV-2: wastewater surveillance,701229975,UNIVERSITY OF VENDA,2021-05-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21590826,South Africa,Africa,"South Africa: Tzaneen\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_81,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-01T11:45:00Z,1,TZ01W19I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25869422,WGS,200,1819405400,PRJNA980445,SAMN37230510,SARS-CoV-2: wastewater surveillance,1056319458,UNIVERSITY OF VENDA,2021-04-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21590825,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_25,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-01T11:46:00Z,1,KA01W16I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25869423,WGS,200,1852665800,PRJNA980445,SAMN37230509,SARS-CoV-2: wastewater surveillance,1062477092,UNIVERSITY OF VENDA,2021-04-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21590824,South Africa,Africa,"South Africa: Thohoyandou\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_71,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-01T11:45:00Z,1,TH01W15I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25869424,WGS,200,5958214800,PRJNA980445,SAMN37230508,SARS-CoV-2: wastewater surveillance,3816813941,UNIVERSITY OF VENDA,2021-02-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21590823,South Africa,Africa,"South Africa: Malamulel\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_47,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-01T11:53:00Z,1,MA01W08I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887291,WGS,200,1461547000,PRJNA980445,SAMN37253845,SARS-CoV-2: wastewater surveillance,792044210,UNIVERSITY OF VENDA,2022-05-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607682,South Africa,Africa,"South Africa: Tzaneen\,Limpopo",DNBSEQ-G400,Waste sedimentation pond,L01_80,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T16:08:00Z,1,TZ01W18I_22,SRP441280,NA,0,sewer pipeline sediments,grab,yes,SARS-CoV-2
SRR25887292,WGS,200,2547553600,PRJNA980445,SAMN37253844,SARS-CoV-2: wastewater surveillance,1494376579,UNIVERSITY OF VENDA,2021-06-29,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607681,South Africa,Africa,"South Africa: Tzaneen\,Limpopo",DNBSEQ-G400,Waste sedimentation pond,L01_84,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T16:11:00Z,1,TZ01W26I_21,SRP441280,NA,0,sewer pipeline sediments,grab,yes,SARS-CoV-2
SRR25887293,WGS,200,2768289000,PRJNA980445,SAMN37253843,SARS-CoV-2: wastewater surveillance,1680023508,UNIVERSITY OF VENDA,2021-04-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607680,South Africa,Africa,"South Africa: Thohoyandou\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_72,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T16:11:00Z,1,TH01W16I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
