Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR25887294,WGS,200,1582735400,PRJNA980445,SAMN37253842,SARS-CoV-2: wastewater surveillance,867451030,UNIVERSITY OF VENDA,2022-02-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607679,South Africa,Africa,"South Africa: Siloam Hospital\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_63,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T16:09:00Z,1,SI01W05I_22,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887295,WGS,200,2811189200,PRJNA980445,SAMN37253841,SARS-CoV-2: wastewater surveillance,1679368823,UNIVERSITY OF VENDA,2021-12-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607678,South Africa,Africa,"South Africa: Thohoyandou\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_79,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T16:11:00Z,1,TH01W51I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887296,WGS,200,2984432600,PRJNA980445,SAMN37253840,SARS-CoV-2: wastewater surveillance,1540335083,UNIVERSITY OF VENDA,2021-11-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607677,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_37,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T16:11:00Z,1,KA01W47I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887297,WGS,200,1201900400,PRJNA980445,SAMN37253839,SARS-CoV-2: wastewater surveillance,654327830,UNIVERSITY OF VENDA,2021-07-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607676,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_36,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T16:08:00Z,1,KA01W34I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887298,WGS,200,3765061800,PRJNA980445,SAMN37253838,SARS-CoV-2: wastewater surveillance,2277000928,UNIVERSITY OF VENDA,2021-08-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607675,South Africa,Africa,"South Africa: Nkowankowa\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_60,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T16:09:00Z,1,NK01W31I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887299,WGS,200,2171323200,PRJNA980445,SAMN37253837,SARS-CoV-2: wastewater surveillance,1221058473,UNIVERSITY OF VENDA,2021-07-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607674,South Africa,Africa,"South Africa: Siloam Hospital\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_68,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T16:10:00Z,1,SI01W29I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25914793,WGS,200,1426558800,PRJNA980445,SAMN37283006,SARS-CoV-2: wastewater surveillance,797323237,UNIVERSITY OF VENDA,2022-04-25,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21634889,South Africa,Africa,"South Africa: Siloam Hospital\,Limpopo",DNBSEQ-G400,Waste sedimentation pond,L01_64,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T12:26:00Z,1,SI01W17I_22,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25914794,WGS,200,1634501000,PRJNA980445,SAMN37283005,SARS-CoV-2: wastewater surveillance,1076854612,UNIVERSITY OF VENDA,2022-05-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21634888,South Africa,Africa,"South Africa: Nkowankowa\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_53,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T12:29:00Z,1,NK01W18I_22,SRP441280,NA,0,sewer pipeline sediments,grab,yes,SARS-CoV-2
SRR25914795,WGS,200,2427989000,PRJNA980445,SAMN37283004,SARS-CoV-2: wastewater surveillance,1444049635,UNIVERSITY OF VENDA,2021-05-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21634887,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_28,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T12:25:00Z,1,KA01W22I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25914796,WGS,200,447015200,PRJNA980445,SAMN37283003,SARS-CoV-2: wastewater surveillance,258214151,UNIVERSITY OF VENDA,2021-12-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21634886,South Africa,Africa,"South Africa: Louis Trichardt\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_46,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T12:24:00Z,1,LT01W49I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25914797,WGS,200,3413470200,PRJNA980445,SAMN37283002,SARS-CoV-2: wastewater surveillance,2019309364,UNIVERSITY OF VENDA,2021-07-13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21634885,South Africa,Africa,"South Africa: Nkowankowa\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_58,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T12:29:00Z,1,NK01W28I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25914798,WGS,200,2982976400,PRJNA980445,SAMN37283001,SARS-CoV-2: wastewater surveillance,1759155814,UNIVERSITY OF VENDA,2021-06-29,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21634884,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_31,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T12:27:00Z,1,KA01W26I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25914799,WGS,200,2801384400,PRJNA980445,SAMN37283000,SARS-CoV-2: wastewater surveillance,1641760000,UNIVERSITY OF VENDA,2021-05-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21634883,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_27,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T12:28:00Z,1,KA01W21I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25914800,WGS,200,3865828200,PRJNA980445,SAMN37282999,SARS-CoV-2: wastewater surveillance,2319613322,UNIVERSITY OF VENDA,2021-05-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21634882,South Africa,Africa,"South Africa: Thohoyandou\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_74,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T12:49:00Z,1,TH01W19I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25914801,WGS,200,3455695200,PRJNA980445,SAMN37282998,SARS-CoV-2: wastewater surveillance,2063360060,UNIVERSITY OF VENDA,2021-12-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21634881,South Africa,Africa,"South Africa: Nkowankowa\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_61,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T12:29:00Z,1,NK01W51I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25916021,WGS,200,1287137200,PRJNA980445,SAMN37283992,SARS-CoV-2: wastewater surveillance,752930436,UNIVERSITY OF VENDA,2022-05-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21635875,South Africa,Africa,"South Africa: Tzaneen\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_82,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T13:56:00Z,1,TZ01W19I_22,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25916022,WGS,200,1901187400,PRJNA980445,SAMN37283991,SARS-CoV-2: wastewater surveillance,1026575736,UNIVERSITY OF VENDA,2022-01-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21635874,South Africa,Africa,"South Africa: Nkowankowa\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_52,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T13:57:00Z,1,NK01W04I_22,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25916023,WGS,200,2587361600,PRJNA980445,SAMN37283990,SARS-CoV-2: wastewater surveillance,1613849167,UNIVERSITY OF VENDA,2022-01-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21635873,South Africa,Africa,"South Africa: Nkowankowa\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_51,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T13:59:00Z,1,NK01W03I_22,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25916024,WGS,200,1560204000,PRJNA980445,SAMN37283989,SARS-CoV-2: wastewater surveillance,835773523,UNIVERSITY OF VENDA,2021-12-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21635872,South Africa,Africa,"South Africa: Tzaneen\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_88,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T13:58:00Z,1,TZ01W51I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25916025,WGS,200,4698642200,PRJNA980445,SAMN37283988,SARS-CoV-2: wastewater surveillance,2845652437,UNIVERSITY OF VENDA,2021-11-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21635871,South Africa,Africa,"South Africa: Siloam Hospital\,Limpopo",DNBSEQ-G400,Waste sedimentation pond,L01_70,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T14:03:00Z,1,SI01W46I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25916077,WGS,200,3555389000,PRJNA980445,SAMN37284022,SARS-CoV-2: wastewater surveillance,2252945718,UNIVERSITY OF VENDA,2021-12-13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21635930,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_38,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T14:16:00Z,1,KA01W50I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25916078,WGS,200,4859967600,PRJNA980445,SAMN37284021,SARS-CoV-2: wastewater surveillance,3095948576,UNIVERSITY OF VENDA,2022-05-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21635929,South Africa,Africa,"South Africa: Thohoyandou\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_73,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T14:17:00Z,1,TH01W18I_22,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25916079,WGS,200,1796704800,PRJNA980445,SAMN37284020,SARS-CoV-2: wastewater surveillance,1051008038,UNIVERSITY OF VENDA,2021-06-29,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21635928,South Africa,Africa,"South Africa: Thohoyandou\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_75,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T14:13:00Z,1,TH01W26I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25916080,WGS,200,369473800,PRJNA980445,SAMN37284019,SARS-CoV-2: wastewater surveillance,215341235,UNIVERSITY OF VENDA,2021-05-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21635927,South Africa,Africa,"South Africa: Louis Trichardt\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_41,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-05T14:11:00Z,1,LT01W19I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR24833901,WGS,200,3084549400,PRJNA980445,SAMN35637073,SARS-CoV-2: wastewater surveillance,1896248379,UNIVERSITY OF VENDA,2021-01-18,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20598310,South Africa,Africa,South Africa: Limpopo,DNBSEQ-G50,Waste sedimentation pond,201,PAIRED,PCR,METAGENOMIC,wastewater metagenome,DNBSEQ,2023-06-07T00:00:00Z,2023-06-06T22:36:00Z,1,SI01W03I_21,SRP441280,NA,0,sewer pipeline sediments,grab,yes,SARS-CoV-2
SRR25887153,WGS,200,2925013200,PRJNA980445,SAMN37253784,SARS-CoV-2: wastewater surveillance,1732229389,UNIVERSITY OF VENDA,2021-07-13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607541,South Africa,Africa,"South Africa: Siloam Hospital\,Limpopo",DNBSEQ-G400,Waste sedimentation pond,L01_67,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T15:51:00Z,1,SI01W28I_21,SRP441280,NA,0,sewer pipeline sediments,grab,yes,SARS-CoV-2
SRR25887154,WGS,200,2704912400,PRJNA980445,SAMN37253783,SARS-CoV-2: wastewater surveillance,1509845795,UNIVERSITY OF VENDA,2021-07-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607540,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_35,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T15:52:00Z,1,KA01W33I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887155,WGS,200,3247284400,PRJNA980445,SAMN37253782,SARS-CoV-2: wastewater surveillance,1913953396,UNIVERSITY OF VENDA,2021-07-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607539,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_34,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T15:54:00Z,1,KA01W32I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887156,WGS,200,2478877400,PRJNA980445,SAMN37253781,SARS-CoV-2: wastewater surveillance,1551563283,UNIVERSITY OF VENDA,2021-08-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607538,South Africa,Africa,"South Africa: Ga-Kgapane\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_33,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T15:52:00Z,1,KA01W31I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887157,WGS,200,3217425200,PRJNA980445,SAMN37253780,SARS-CoV-2: wastewater surveillance,1961917039,UNIVERSITY OF VENDA,2021-12-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607537,South Africa,Africa,"South Africa: Thohoyandou\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_78,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T15:53:00Z,1,TH01W49I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25887158,WGS,200,2490039400,PRJNA980445,SAMN37253779,SARS-CoV-2: wastewater surveillance,1468422944,UNIVERSITY OF VENDA,2021-11-08,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21607536,South Africa,Africa,"South Africa: Louis Trichardt\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_45,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T15:51:00Z,1,LT01W45I_21,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
SRR25886439,WGS,200,2582942800,PRJNA980445,SAMN37251707,SARS-CoV-2: wastewater surveillance,1596642474,UNIVERSITY OF VENDA,2021-06-29,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21606829,South Africa,Africa,"South Africa: Siloam Hospital\,Limpopo",DNBSEQ-G400,Waste sedimentation pond,L01_66,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T10:13:00Z,1,SI01W26I_21,SRP441280,NA,0,sewer pipeline sediments,grab,yes,SARS-CoV-2
SRR25886440,WGS,200,2421434000,PRJNA980445,SAMN37251706,SARS-CoV-2: wastewater surveillance,1506218929,UNIVERSITY OF VENDA,2022-05-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21606828,South Africa,Africa,"South Africa: Giyani\,Limpopo",DNBSEQ-G400,Wastewater treatment plant,L01_19,PAIRED,PCR,VIRAL RNA,wastewater metagenome,DNBSEQ,2023-10-16T00:00:00Z,2023-09-02T10:14:00Z,1,GI01W18I_22,SRP441280,NA,0,raw wastewater,grab,yes,SARS-CoV-2
